               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084966,            0.021075,            0.052605,              0.5001,             0.17474,            0.091906,            0.028108,            0.072649,            0.014395,            0.045491,            0.070195,           0.0033117,           0.0033117
                   1,            0.058963,            0.015149,            0.045678,             0.28629,             0.29462,             0.12811,            0.042827,            0.055626,            0.012448,            0.044143,            0.040119,           0.0065691,           0.0065691
                   2,            0.060045,            0.013214,            0.045644,               0.246,             0.12684,            0.070123,            0.020171,            0.067722,            0.014125,            0.044841,           0.0099667,           0.0097503,           0.0097503
                   3,            0.060851,            0.013093,            0.045543,             0.21073,             0.19873,            0.030007,           0.0077702,            0.077224,            0.020582,            0.046335,           0.0096571,           0.0096571,           0.0096571
                   4,            0.057441,            0.012654,            0.045529,             0.26931,             0.23297,            0.076578,            0.023643,            0.059669,            0.012249,            0.042996,           0.0096571,           0.0096571,           0.0096571
                   5,            0.053556,            0.012092,            0.045486,             0.30462,             0.20205,            0.081619,            0.024637,            0.063006,            0.013693,            0.045776,           0.0095429,           0.0095429,           0.0095429
                   6,            0.053015,            0.011852,            0.044814,             0.29983,             0.24094,             0.10709,            0.035727,            0.056123,            0.012377,            0.043984,           0.0094286,           0.0094286,           0.0094286
                   7,            0.050559,            0.011669,            0.044569,             0.33612,             0.44055,              0.1844,            0.068872,            0.049838,            0.011508,             0.04235,           0.0093143,           0.0093143,           0.0093143
                   8,            0.048007,            0.011191,            0.044394,             0.33669,             0.45482,             0.19029,            0.071549,            0.047808,            0.010701,             0.04311,              0.0092,              0.0092,              0.0092
                   9,             0.04754,            0.011063,             0.04356,             0.33299,             0.41934,             0.19248,            0.071128,            0.046769,            0.010852,            0.041492,           0.0090857,           0.0090857,           0.0090857
                  10,            0.046449,            0.010623,            0.042859,             0.34223,             0.47671,             0.22279,            0.090893,            0.046027,           0.0099319,            0.040672,           0.0089714,           0.0089714,           0.0089714
                  11,            0.044447,            0.010475,            0.042434,             0.34778,             0.45664,             0.21997,            0.089655,             0.04674,            0.010266,            0.040868,           0.0088571,           0.0088571,           0.0088571
                  12,            0.044173,            0.010378,            0.041811,             0.16271,             0.37764,             0.19625,            0.074492,            0.044554,            0.010908,            0.040498,           0.0087429,           0.0087429,           0.0087429
                  13,            0.043581,           0.0099666,            0.040944,             0.37663,              0.4604,             0.26948,             0.10704,            0.046076,           0.0092226,             0.03965,           0.0086286,           0.0086286,           0.0086286
                  14,            0.043708,           0.0099617,            0.041303,               0.393,             0.42737,             0.26309,              0.1006,            0.046228,           0.0098393,            0.039073,           0.0085143,           0.0085143,           0.0085143
                  15,            0.042887,           0.0097477,             0.04055,             0.33995,             0.39374,              0.1824,            0.067095,            0.047884,            0.011195,             0.04077,              0.0084,              0.0084,              0.0084
                  16,            0.042289,           0.0097006,            0.039169,             0.42284,             0.43551,             0.29402,             0.11239,            0.045037,           0.0090359,            0.038026,           0.0082857,           0.0082857,           0.0082857
                  17,            0.042157,           0.0096718,            0.039559,             0.38022,             0.37157,             0.22775,            0.093737,            0.044497,           0.0099107,            0.039494,           0.0081714,           0.0081714,           0.0081714
                  18,            0.041126,           0.0094669,            0.038636,             0.41949,             0.42867,             0.29039,             0.10893,            0.043771,           0.0091323,            0.037763,           0.0080571,           0.0080571,           0.0080571
                  19,            0.040722,           0.0094189,            0.037663,             0.44323,             0.44965,             0.34557,             0.13478,            0.042305,           0.0090111,            0.036282,           0.0079429,           0.0079429,           0.0079429
                  20,            0.040952,           0.0092912,            0.037425,             0.44781,             0.48161,             0.35047,              0.1598,            0.040675,           0.0088781,            0.036656,           0.0078286,           0.0078286,           0.0078286
                  21,            0.041458,           0.0092713,            0.037151,             0.45541,             0.44052,             0.32987,             0.12728,             0.04345,           0.0090883,            0.036464,           0.0077143,           0.0077143,           0.0077143
                  22,            0.040238,           0.0091983,            0.036249,             0.43406,             0.44072,             0.31901,             0.13486,            0.043855,           0.0090863,            0.036118,              0.0076,              0.0076,              0.0076
                  23,            0.039908,           0.0089871,            0.035888,             0.49127,             0.45418,               0.366,             0.16874,            0.040757,           0.0086217,             0.03563,           0.0074857,           0.0074857,           0.0074857
                  24,            0.039157,           0.0089209,            0.034787,             0.50724,             0.42578,             0.37133,             0.15101,            0.042488,           0.0092572,            0.035514,           0.0073714,           0.0073714,           0.0073714
                  25,             0.03912,           0.0087857,            0.034886,             0.52185,             0.44783,             0.41059,             0.18453,            0.039596,            0.008706,            0.033781,           0.0072571,           0.0072571,           0.0072571
                  26,            0.039143,           0.0089272,            0.034156,             0.59805,             0.46465,             0.47114,             0.20496,            0.040414,           0.0084937,            0.032507,           0.0071429,           0.0071429,           0.0071429
                  27,            0.038782,           0.0088189,            0.033362,             0.46648,             0.36911,             0.28852,             0.10821,            0.043789,            0.010088,             0.03802,           0.0070286,           0.0070286,           0.0070286
                  28,            0.038299,            0.008736,            0.032836,             0.45725,             0.30895,             0.24424,             0.10871,            0.050324,            0.013272,            0.044391,           0.0069143,           0.0069143,           0.0069143
                  29,            0.038137,           0.0086548,            0.032183,             0.57616,             0.41864,             0.41445,             0.16603,            0.042124,           0.0091388,            0.033623,              0.0068,              0.0068,              0.0068
                  30,            0.037913,           0.0087133,            0.031327,              0.5244,             0.36358,             0.32482,              0.1502,            0.041754,            0.011222,            0.042249,           0.0066857,           0.0066857,           0.0066857
